"","X","X.1","date","ANZSOC.Group","Area.Unit","Meshblock","Territorial.Authority","Location"
"1179",1179,55139,"1/2/18","Common Assault","Kuirau.",1233900,"Rotorua District.","Bay Of Plenty"
"1180",1180,55144,"1/2/18","Common Assault","Marlborough Sounds Coastal Marine.",2283000,"Marlborough District.","Tasman/ South-West Coast"
"1181",1181,55149,"1/2/18","Common Assault","Onehunga South East.",600400,"Auckland.","Auckland"
"1182",1182,55154,"1/2/18","Common Assault","Marton.",1731001,"Rangitikei District.","West Coast/ Upper-Central North"
"1183",1183,55156,"1/2/18","Serious Assault Not Resulting in Injury","Maungatapere.",72102,"Whangarei District.","Northland"
"1184",1184,55161,"1/2/18","Serious Assault Not Resulting in Injury","Linden.",1995500,"Wellington City.","Wellington/ Lower-Central North"
"1185",1185,55163,"1/2/18","Serious Assault Resulting in Injury","Dingwall.",666700,"Auckland.","Auckland"
"1186",1186,55168,"1/2/18","Serious Assault Resulting in Injury","Tuturumuri.",2277200,"South Wairarapa District.","Wellington/ Lower-Central North"
"1187",1187,55176,"1/2/18","Serious Assault Not Resulting in Injury","Morrinsville West.",1085500,"Matamata-Piako District.","Waikato"
"1188",1188,55178,"1/2/18","Serious Assault Resulting in Injury","Marewa.",1436700,"Napier City.","Hawkes Bay/ Gisborne"
"1189",1189,55184,"1/2/18","Common Assault","Lynnmall.",266000,"Auckland.","Auckland"
"1190",1190,55189,"1/2/18","Common Assault","Huntly West.",945000,"Waikato District.","Waikato"
"1191",1191,55194,"1/2/18","Common Assault","Manurewa Central.",752400,"Auckland.","Auckland"
"1192",1192,55199,"1/2/18","Common Assault","Sturges North.",236609,"Auckland.","Auckland"
"1193",1193,55206,"1/2/18","Serious Assault Not Resulting in Injury","Newfield-Rockdale.",3140000,"Invercargill City.","Southland/ Otago"
"1194",1194,55213,"1/2/18","Serious Assault Resulting in Injury","Albany.",178900,"Auckland.","Auckland"
"1195",1195,55250,"1/2/18","Aggravated Sexual Assault","Te Kauwhata.",938500,"Waikato District.","Waikato"
"1196",1196,55252,"1/2/18","Non-Aggravated Sexual Assault","Hamilton Central.",910700,"Hamilton City.","Waikato"
"1197",1197,55255,"1/2/18","Aggravated Sexual Assault","Waikuku.",2446407,"Waimakariri District.","Canterbury"
"1198",1198,55257,"1/2/18","Non-Aggravated Sexual Assault","Seaview.",2795100,"Timaru District.","Canterbury"
"1199",1199,55260,"1/2/18","Aggravated Sexual Assault","Karori East.",2112300,"Wellington City.","Wellington/ Lower-Central North"
"1200",1200,55265,"1/2/18","Aggravated Sexual Assault","Oroua Bridge.",1761402,"Manawatu District.","West Coast/ Upper-Central North"
"1201",1201,56629,"1/9/17","Common Assault","Otorohanga Rural East.",1003900,"Otorohanga District.","Waikato"
"1202",1202,56653,"1/9/17","Serious Assault Resulting in Injury","Manurewa Central.",750700,"Auckland.","Auckland"
"1203",1203,56654,"1/9/17","Common Assault","Cannons Creek North.",2048300,"Porirua City.","Wellington/ Lower-Central North"
"1204",1204,56658,"1/9/17","Serious Assault Resulting in Injury","Ngakuru.",1262902,"Rotorua District.","Bay Of Plenty"
"1205",1205,56659,"1/9/17","Common Assault","Parakai Urban.",210902,"Auckland.","Auckland"
"1206",1206,56849,"1/4/18","Common Assault","Palmerston North Central.",1829500,"Palmerston North City.","West Coast/ Upper-Central North"
"1207",1207,56854,"1/4/18","Common Assault","Petone Central.",2034000,"Lower Hutt City.","Wellington/ Lower-Central North"
"1208",1208,56856,"1/4/18","Serious Assault Not Resulting in Injury","Kauwhata.",1793800,"Manawatu District.","West Coast/ Upper-Central North"
"1209",1209,56858,"1/4/18","Serious Assault Resulting in Injury","Glenfield North.",198600,"Auckland.","Auckland"
"1210",1210,56864,"1/4/18","Common Assault","999999",-65,"Auckland.","Auckland"
"1211",1211,56874,"1/4/18","Common Assault","Trafalgar.",2319800,"Nelson City.","Tasman/ South-West Coast"
"1212",1212,56879,"1/4/18","Common Assault","Auckland Central East.",436100,"Auckland.","Auckland"
"1213",1213,56884,"1/4/18","Common Assault","Lyttelton.",2707900,"Christchurch City.","Canterbury"
"1214",1214,56888,"1/4/18","Serious Assault Resulting in Injury","Claudelands.",863000,"Hamilton City.","Waikato"
"1215",1215,56894,"1/4/18","Common Assault","Cambridge Central.",963000,"Waipa District.","Waikato"
"1216",1216,56899,"1/4/18","Common Assault","Auckland Central West.",433501,"Auckland.","Auckland"
"1217",1217,56904,"1/4/18","Common Assault","Welbourn.",1601100,"New Plymouth District.","West Coast/ Upper-Central North"
"1218",1218,56909,"1/4/18","Common Assault","999999",-125,"Gisborne District.","Hawkes Bay/ Gisborne"
"1219",1219,56913,"1/4/18","Serious Assault Resulting in Injury","Wairakei-Aratiatia.",1279300,"Taupo District.","Waikato"
"1220",1220,56919,"1/4/18","Common Assault","Palmerston North Hospital.",1834400,"Palmerston North City.","West Coast/ Upper-Central North"
"1221",1221,56923,"1/4/18","Serious Assault Resulting in Injury","Puhinui South.",780205,"Auckland.","Auckland"
"1222",1222,56929,"1/4/18","Common Assault","Paraparaumu Central.",2003709,"Kapiti Coast District.","Wellington/ Lower-Central North"
"1223",1223,56939,"1/4/18","Common Assault","Albany.",178900,"Auckland.","Auckland"
"1224",1224,56944,"1/4/18","Common Assault","Tairua.",1059226,"Thames-Coromandel District.","Waikato"
"1225",1225,56946,"1/4/18","Serious Assault Not Resulting in Injury","Porirua Central.",2052500,"Porirua City.","Wellington/ Lower-Central North"
"1226",1226,56970,"1/4/18","Aggravated Sexual Assault","Naenae South.",1958400,"Lower Hutt City.","Wellington/ Lower-Central North"
"1227",1227,56972,"1/4/18","Non-Aggravated Sexual Assault","Masterton Central.",2245600,"Masterton District.","Wellington/ Lower-Central North"
"1228",1228,56980,"1/4/18","Aggravated Sexual Assault","Kamo West.",85800,"Whangarei District.","Northland"
"1229",1229,59369,"1/3/18","Common Assault","Cathedral Square.",2649300,"Christchurch City.","Canterbury"
"1230",1230,59374,"1/3/18","Common Assault","Welcome Bay West.",1180006,"Tauranga City.","Bay Of Plenty"
"1231",1231,59379,"1/3/18","Common Assault","Cannons Creek North.",2048300,"Porirua City.","Wellington/ Lower-Central North"
"1232",1232,59381,"1/3/18","Serious Assault Not Resulting in Injury","Westbrook.",1816304,"Palmerston North City.","West Coast/ Upper-Central North"
"1233",1233,59386,"1/3/18","Serious Assault Not Resulting in Injury","Whitianga.",1047101,"Thames-Coromandel District.","Waikato"
"1234",1234,59396,"1/3/18","Serious Assault Not Resulting in Injury","Wiri.",780407,"Auckland.","Auckland"
"1235",1235,59404,"1/3/18","Common Assault","Kaikohe.",41800,"Far North District.","Northland"
"1236",1236,59409,"1/3/18","Common Assault","Gordonton.",954000,"Waikato District.","Waikato"
"1237",1237,59411,"1/3/18","Serious Assault Not Resulting in Injury","Cromwell.",3029303,"Central Otago District.","Southland/ Otago"
"1238",1238,59416,"1/3/18","Serious Assault Not Resulting in Injury","Hamilton East.",892900,"Hamilton City.","Waikato"
"1239",1239,59421,"1/3/18","Serious Assault Not Resulting in Injury","Raetihi.",1675400,"Ruapehu District.","West Coast/ Upper-Central North"
"1240",1240,59423,"1/3/18","Serious Assault Resulting in Injury","Blenheim Central.",2297700,"Marlborough District.","Tasman/ South-West Coast"
"1241",1241,59424,"1/3/18","Common Assault","Aidanfield.",2484302,"Christchurch City.","Canterbury"
"1242",1242,59429,"1/3/18","Common Assault","Hillpark.",757300,"Auckland.","Auckland"
"1243",1243,59434,"1/3/18","Common Assault","Highfield.",2787000,"Timaru District.","Canterbury"
"1244",1244,59436,"1/3/18","Serious Assault Not Resulting in Injury","Akina.",1502000,"Hastings District.","Hawkes Bay/ Gisborne"
"1245",1245,59441,"1/3/18","Serious Assault Not Resulting in Injury","Kuirau.",1236000,"Rotorua District.","Bay Of Plenty"
"1246",1246,59446,"1/3/18","Serious Assault Not Resulting in Injury","Waikuku.",2446407,"Waimakariri District.","Canterbury"
"1247",1247,59449,"1/3/18","Common Assault","Papaeoia.",1835000,"Palmerston North City.","West Coast/ Upper-Central North"
"1248",1248,59454,"1/3/18","Common Assault","Hillmorton.",2630800,"Christchurch City.","Canterbury"
"1249",1249,59461,"1/3/18","Serious Assault Not Resulting in Injury","Kaiapoi South.",2453202,"Waimakariri District.","Canterbury"
"1250",1250,59469,"1/3/18","Common Assault","Kohitere.",1856907,"Horowhenua District.","Wellington/ Lower-Central North"
"1251",1251,59474,"1/3/18","Common Assault","Western Heights.",1218801,"Rotorua District.","Bay Of Plenty"
"1252",1252,59476,"1/3/18","Serious Assault Not Resulting in Injury","Waiwhetu South.",1977303,"Lower Hutt City.","Wellington/ Lower-Central North"
"1253",1253,59484,"1/3/18","Common Assault","Adelaide.",2149200,"Wellington City.","Wellington/ Lower-Central North"
"1254",1254,59486,"1/3/18","Serious Assault Not Resulting in Injury","Urlich.",235010,"Auckland.","Auckland"
"1255",1255,59491,"1/3/18","Serious Assault Not Resulting in Injury","Kaiapoi North West.",2451400,"Waimakariri District.","Canterbury"
"1256",1256,59494,"1/3/18","Common Assault","Papatoetoe West.",658201,"Auckland.","Auckland"
"1257",1257,59496,"1/3/18","Serious Assault Not Resulting in Injury","Springs Flat.",64300,"Whangarei District.","Northland"
"1258",1258,59505,"1/3/18","Aggravated Sexual Assault","Hagley Park.",2678500,"Christchurch City.","Canterbury"
"1259",1259,59510,"1/3/18","Aggravated Sexual Assault","Mt Eden North.",542700,"Auckland.","Auckland"
"1260",1260,59515,"1/3/18","Aggravated Sexual Assault","999999",-250,"Napier City.","Hawkes Bay/ Gisborne"
"1261",1261,59934,"1/4/18","Common Assault","Clendon South.",774449,"Auckland.","Auckland"
"1262",1262,59939,"1/4/18","Common Assault","Albany.",178900,"Auckland.","Auckland"
"1263",1263,59944,"1/4/18","Common Assault","Te Papapa.",607400,"Auckland.","Auckland"
"1264",1264,59949,"1/4/18","Common Assault","Auckland Central West.",434200,"Auckland.","Auckland"
"1265",1265,59954,"1/4/18","Common Assault","Waltham.",2624402,"Christchurch City.","Canterbury"
"1266",1266,59961,"1/4/18","Serious Assault Not Resulting in Injury","Masterton East.",2240400,"Masterton District.","Wellington/ Lower-Central North"
"1267",1267,59963,"1/4/18","Serious Assault Resulting in Injury","Avondale West.",389800,"Auckland.","Auckland"
"1268",1268,59968,"1/4/18","Serious Assault Resulting in Injury","Glenview.",926600,"Hamilton City.","Waikato"
"1269",1269,59974,"1/4/18","Common Assault","Nelson Park.",1428100,"Napier City.","Hawkes Bay/ Gisborne"
"1270",1270,59979,"1/4/18","Common Assault","Pakuranga Central.",684000,"Auckland.","Auckland"
"1271",1271,59984,"1/4/18","Common Assault","Paparua.",2494600,"Christchurch City.","Canterbury"
"1272",1272,59989,"1/4/18","Common Assault","Te Uku.",860800,"Waikato District.","Waikato"
"1273",1273,59996,"1/4/18","Serious Assault Not Resulting in Injury","Otaki.",1879501,"Kapiti Coast District.","Wellington/ Lower-Central North"
"1274",1274,60003,"1/4/18","Serious Assault Resulting in Injury","Tongariro.",1288100,"Taupo District.","Waikato"
"1275",1275,60009,"1/4/18","Common Assault","Auckland Central East.",438000,"Auckland.","Auckland"
"1276",1276,60014,"1/4/18","Common Assault","Taneatua.",1304000,"Whakatane District.","Bay Of Plenty"
"1277",1277,60019,"1/4/18","Common Assault","Bishopdale.",2521900,"Christchurch City.","Canterbury"
"1278",1278,60024,"1/4/18","Common Assault","Kelburn.",2155200,"Wellington City.","Wellington/ Lower-Central North"
"1279",1279,60029,"1/4/18","Common Assault","Mona Vale.",2472700,"Christchurch City.","Canterbury"
"1280",1280,60031,"1/4/18","Serious Assault Not Resulting in Injury","Poets Block.",1888200,"Upper Hutt City.","Wellington/ Lower-Central North"
"1281",1281,60036,"1/4/18","Serious Assault Not Resulting in Injury","Kamo East.",84600,"Whangarei District.","Northland"
"1282",1282,60043,"1/4/18","Serious Assault Resulting in Injury","Oruanui.",1277401,"Taupo District.","Waikato"
"1283",1283,60049,"1/4/18","Common Assault","Strathmore Park.",2213600,"Wellington City.","Wellington/ Lower-Central North"
"1284",1284,60054,"1/4/18","Common Assault","Auckland Harbourside.",432800,"Auckland.","Auckland"
"1285",1285,60059,"1/4/18","Common Assault","Avon Loop.",2658100,"Christchurch City.","Canterbury"
"1286",1286,60064,"1/4/18","Common Assault","Camberley.",1478700,"Hastings District.","Hawkes Bay/ Gisborne"
"1287",1287,60071,"1/4/18","Serious Assault Not Resulting in Injury","Hamilton Central.",911800,"Hamilton City.","Waikato"
"1288",1288,60078,"1/4/18","Serious Assault Resulting in Injury","Auckland Central West.",432700,"Auckland.","Auckland"
"1289",1289,60154,"1/9/17","Common Assault","Akarana.",581200,"Auckland.","Auckland"
"1290",1290,60159,"1/9/17","Common Assault","One Tree Hill Central.",622900,"Auckland.","Auckland"
"1291",1291,60166,"1/9/17","Serious Assault Not Resulting in Injury","Camberley.",1478400,"Hastings District.","Hawkes Bay/ Gisborne"
"1292",1292,60171,"1/9/17","Serious Assault Not Resulting in Injury","Paeroa.",1074300,"Hauraki District.","Waikato"
"1293",1293,60174,"1/9/17","Common Assault","Te Hapara.",1368300,"Gisborne District.","Hawkes Bay/ Gisborne"
"1294",1294,60181,"1/9/17","Serious Assault Not Resulting in Injury","Upper Aramoho.",1710000,"Wanganui District.","West Coast/ Upper-Central North"
"1295",1295,60189,"1/9/17","Common Assault","Willis Street-Cambridge Terrace.",2133200,"Wellington City.","Wellington/ Lower-Central North"
"1296",1296,60194,"1/9/17","Common Assault","Hagley Park.",2678500,"Christchurch City.","Canterbury"
"1297",1297,60199,"1/9/17","Common Assault","Hamilton Central.",911900,"Hamilton City.","Waikato"
"1298",1298,60201,"1/9/17","Serious Assault Not Resulting in Injury","Westport Urban.",2392400,"Buller District.","Tasman/ South-West Coast"
"1299",1299,60206,"1/9/17","Serious Assault Not Resulting in Injury","Sydenham.",2622400,"Christchurch City.","Canterbury"
"1300",1300,60214,"1/9/17","Common Assault","Waipa Valley.",1010900,"Waitomo District.","Waikato"
"1301",1301,60221,"1/9/17","Serious Assault Not Resulting in Injury","Houhora.",1100,"Far North District.","Northland"
"1302",1302,60229,"1/9/17","Common Assault","Willis Street-Cambridge Terrace.",2135900,"Wellington City.","Wellington/ Lower-Central North"
"1303",1303,60234,"1/9/17","Common Assault","Turangi.",1285900,"Taupo District.","Waikato"
"1304",1304,60236,"1/9/17","Serious Assault Not Resulting in Injury","Papatoetoe Central.",663800,"Auckland.","Auckland"
"1305",1305,60241,"1/9/17","Serious Assault Not Resulting in Injury","Green Island.",2959702,"Dunedin City.","Southland/ Otago"
"1306",1306,60243,"1/9/17","Serious Assault Resulting in Injury","Trafalgar.",2319700,"Nelson City.","Tasman/ South-West Coast"
"1307",1307,60244,"1/9/17","Common Assault","Crinan.",3110900,"Invercargill City.","Southland/ Otago"
"1308",1308,60251,"1/9/17","Serious Assault Not Resulting in Injury","Wiri.",780501,"Auckland.","Auckland"
"1309",1309,60259,"1/9/17","Common Assault","Williams Domain.",1691402,"Wanganui District.","West Coast/ Upper-Central North"
"1310",1310,60261,"1/9/17","Serious Assault Not Resulting in Injury","Point England.",478900,"Auckland.","Auckland"
"1311",1311,60266,"1/9/17","Serious Assault Not Resulting in Injury","Pirimai.",1448600,"Napier City.","Hawkes Bay/ Gisborne"
"1312",1312,60274,"1/9/17","Common Assault","Westlake.",304300,"Auckland.","Auckland"
"1313",1313,60276,"1/9/17","Serious Assault Not Resulting in Injury","Yaldhurst.",2494000,"Christchurch City.","Canterbury"
"1314",1314,60290,"1/9/17","Aggravated Sexual Assault","Lochain.",1474002,"Hastings District.","Hawkes Bay/ Gisborne"
"1315",1315,60295,"1/9/17","Aggravated Sexual Assault","Springlands.",2292500,"Marlborough District.","Tasman/ South-West Coast"
"1316",1316,60300,"1/9/17","Aggravated Sexual Assault","Glen Innes East.",476600,"Auckland.","Auckland"
"1317",1317,60644,"1/10/17","Common Assault","Travis.",2604000,"Christchurch City.","Canterbury"
"1318",1318,60649,"1/10/17","Common Assault","Homai East.",777700,"Auckland.","Auckland"
"1319",1319,60654,"1/10/17","Common Assault","Bellevue.",1158501,"Tauranga City.","Bay Of Plenty"
"1320",1320,60659,"1/10/17","Common Assault","Waiwhero.",1264202,"Rotorua District.","Bay Of Plenty"
"1321",1321,60664,"1/10/17","Common Assault","Wiri.",780407,"Auckland.","Auckland"
"1322",1322,60666,"1/10/17","Serious Assault Not Resulting in Injury","Mt Wellington South.",637500,"Auckland.","Auckland"
"1323",1323,60671,"1/10/17","Serious Assault Not Resulting in Injury","Lambton.",2127500,"Wellington City.","Wellington/ Lower-Central North"
"1324",1324,60673,"1/10/17","Serious Assault Resulting in Injury","Travis.",2604000,"Christchurch City.","Canterbury"
"1325",1325,60678,"1/10/17","Serious Assault Resulting in Injury","Opotiki.",1339200,"Opotiki District.","Bay Of Plenty"
"1326",1326,60684,"1/10/17","Common Assault","Parkside.",2801000,"Timaru District.","Canterbury"
"1327",1327,60689,"1/10/17","Common Assault","Auckland Central West.",434200,"Auckland.","Auckland"
"1328",1328,60694,"1/10/17","Common Assault","Kawakawa.",57300,"Far North District.","Northland"
"1329",1329,60699,"1/10/17","Common Assault","Gladstone-Avenal.",3119200,"Invercargill City.","Southland/ Otago"
"1330",1330,60706,"1/10/17","Serious Assault Not Resulting in Injury","Waiwhetu North.",1976600,"Lower Hutt City.","Wellington/ Lower-Central North"
"1331",1331,60713,"1/10/17","Serious Assault Resulting in Injury","Greymouth South.",2411100,"Grey District.","Tasman/ South-West Coast"
"1332",1332,60719,"1/10/17","Common Assault","Willis Street-Cambridge Terrace.",2133500,"Wellington City.","Wellington/ Lower-Central North"
"1333",1333,60724,"1/10/17","Common Assault","Owairaka West.",519000,"Auckland.","Auckland"
"1334",1334,60729,"1/10/17","Common Assault","Playford Park.",1870200,"Horowhenua District.","Wellington/ Lower-Central North"
"1335",1335,60734,"1/10/17","Common Assault","Tauranga Central.",1164000,"Tauranga City.","Bay Of Plenty"
"1336",1336,60739,"1/10/17","Common Assault","Hauraki.",324700,"Auckland.","Auckland"
"1337",1337,60746,"1/10/17","Serious Assault Not Resulting in Injury","Raglan.",854501,"Waikato District.","Waikato"
"1338",1338,60753,"1/10/17","Serious Assault Resulting in Injury","New Plymouth Central.",1592400,"New Plymouth District.","West Coast/ Upper-Central North"
"1339",1339,60758,"1/10/17","Serious Assault Resulting in Injury","Tuakau.",838600,"Waikato District.","Waikato"
"1340",1340,60764,"1/10/17","Common Assault","Taupo Central.",1274200,"Taupo District.","Waikato"
"1341",1341,60769,"1/10/17","Common Assault","Auckland Central East.",438404,"Auckland.","Auckland"
"1342",1342,60774,"1/10/17","Common Assault","Terrace End.",1846500,"Palmerston North City.","West Coast/ Upper-Central North"
"1343",1343,60779,"1/10/17","Common Assault","Kensington.",94700,"Whangarei District.","Northland"
"1344",1344,60784,"1/10/17","Common Assault","Cannons Creek East.",2063502,"Porirua City.","Wellington/ Lower-Central North"
"1345",1345,60789,"1/10/17","Common Assault","Lambton.",2125400,"Wellington City.","Wellington/ Lower-Central North"
"1346",1346,60794,"1/10/17","Common Assault","Manukau Central.",780204,"Auckland.","Auckland"
"1347",1347,60796,"1/10/17","Serious Assault Not Resulting in Injury","Auckland Harbourside.",437903,"Auckland.","Auckland"
"1348",1348,60801,"1/10/17","Serious Assault Not Resulting in Injury","Wembley Park.",1689501,"Wanganui District.","West Coast/ Upper-Central North"
"1349",1349,60806,"1/10/17","Serious Assault Not Resulting in Injury","Wakari.",2885300,"Dunedin City.","Southland/ Otago"
"1350",1350,60813,"1/10/17","Serious Assault Resulting in Injury","Paihia.",54600,"Far North District.","Northland"
"1351",1351,60818,"1/10/17","Serious Assault Resulting in Injury","Auckland Central East.",438000,"Auckland.","Auckland"
"1352",1352,60823,"1/10/17","Serious Assault Resulting in Injury","Waitangirua.",2059500,"Porirua City.","Wellington/ Lower-Central North"
"1353",1353,60829,"1/10/17","Common Assault","Morningside.",105300,"Whangarei District.","Northland"
"1354",1354,60834,"1/10/17","Common Assault","Hutt Central.",1965300,"Lower Hutt City.","Wellington/ Lower-Central North"
"1355",1355,60839,"1/10/17","Common Assault","Hamilton Central.",908900,"Hamilton City.","Waikato"
"1356",1356,60844,"1/10/17","Common Assault","Ensors.",2580600,"Christchurch City.","Canterbury"
"1357",1357,60846,"1/10/17","Serious Assault Not Resulting in Injury","Starling Park.",235501,"Auckland.","Auckland"
"1358",1358,60853,"1/10/17","Serious Assault Resulting in Injury","Auckland Central West.",433802,"Auckland.","Auckland"
"1359",1359,60859,"1/10/17","Common Assault","Otara North.",700700,"Auckland.","Auckland"
"1360",1360,60864,"1/10/17","Common Assault","Auckland Central East.",436100,"Auckland.","Auckland"
"1361",1361,60869,"1/10/17","Common Assault","Glen Innes West.",476100,"Auckland.","Auckland"
"1362",1362,60874,"1/10/17","Common Assault","Onepoto.",2045501,"Porirua City.","Wellington/ Lower-Central North"
"1363",1363,60879,"1/10/17","Common Assault","Papatoetoe Central.",663300,"Auckland.","Auckland"
"1364",1364,60881,"1/10/17","Serious Assault Not Resulting in Injury","Addington.",2660300,"Christchurch City.","Canterbury"
"1365",1365,60886,"1/10/17","Serious Assault Not Resulting in Injury","Point England.",477600,"Auckland.","Auckland"
"1366",1366,60888,"1/10/17","Serious Assault Resulting in Injury","Phillipstown.",2606400,"Christchurch City.","Canterbury"
"1367",1367,60893,"1/10/17","Serious Assault Resulting in Injury","Paeroa.",1071600,"Hauraki District.","Waikato"
"1368",1368,60894,"1/10/17","Common Assault","Kohuora.",656200,"Auckland.","Auckland"
"1369",1369,60901,"1/10/17","Serious Assault Not Resulting in Injury","Epuni West.",1945300,"Lower Hutt City.","Wellington/ Lower-Central North"
"1370",1370,60903,"1/10/17","Serious Assault Resulting in Injury","Hamilton Central.",909100,"Hamilton City.","Waikato"
"1371",1371,60909,"1/10/17","Common Assault","Cathedral Square.",2648000,"Christchurch City.","Canterbury"
"1372",1372,60914,"1/10/17","Common Assault","Kaikohe.",43400,"Far North District.","Northland"
"1373",1373,60919,"1/10/17","Common Assault","Seaview.",2792700,"Timaru District.","Canterbury"
"1374",1374,60926,"1/10/17","Serious Assault Not Resulting in Injury","Waima.",301300,"Auckland.","Auckland"
"1375",1375,60975,"1/10/17","Aggravated Sexual Assault","Linwood East.",2566400,"Christchurch City.","Canterbury"
"1376",1376,60977,"1/10/17","Non-Aggravated Sexual Assault","Birkdale North.",347700,"Auckland.","Auckland"
"1377",1377,60980,"1/10/17","Aggravated Sexual Assault","Karori South.",2115601,"Wellington City.","Wellington/ Lower-Central North"
"1378",1378,60990,"1/10/17","Aggravated Sexual Assault","Sydenham.",2622801,"Christchurch City.","Canterbury"
"1379",1379,63169,"1/5/18","Common Assault","Hamilton Central.",911401,"Hamilton City.","Waikato"
"1380",1380,63174,"1/5/18","Common Assault","Hawera North.",1646000,"South Taranaki District.","West Coast/ Upper-Central North"
"1381",1381,63184,"1/5/18","Common Assault","Gordonton.",953100,"Waikato District.","Waikato"
"1382",1382,63189,"1/5/18","Common Assault","Tuakau.",838600,"Waikato District.","Waikato"
"1383",1383,63194,"1/5/18","Common Assault","Manurewa Central.",751600,"Auckland.","Auckland"
"1384",1384,63196,"1/5/18","Serious Assault Not Resulting in Injury","Wiri.",780506,"Auckland.","Auckland"
"1385",1385,63198,"1/5/18","Serious Assault Resulting in Injury","Waikiwi.",3102900,"Invercargill City.","Southland/ Otago"
"1386",1386,63204,"1/5/18","Common Assault","Taupo Central.",1274000,"Taupo District.","Waikato"
"1387",1387,63209,"1/5/18","Common Assault","Hanmer Springs.",2427400,"Hurunui District.","Canterbury"
"1388",1388,63211,"1/5/18","Serious Assault Not Resulting in Injury","Kuirau.",1233400,"Rotorua District.","Bay Of Plenty"
"1389",1389,63218,"1/5/18","Serious Assault Resulting in Injury","Otahuhu West.",784500,"Auckland.","Auckland"
"1390",1390,63219,"1/5/18","Common Assault","Phillipstown.",2606400,"Christchurch City.","Canterbury"
"1391",1391,63224,"1/5/18","Common Assault","Wanganui Collegiate.",1721302,"Wanganui District.","West Coast/ Upper-Central North"
"1392",1392,63229,"1/5/18","Common Assault","Hamilton Central.",909500,"Hamilton City.","Waikato"
"1393",1393,63267,"1/5/18","Non-Aggravated Sexual Assault","Otorohanga.",997600,"Otorohanga District.","Waikato"
"1394",1394,63275,"1/5/18","Aggravated Sexual Assault","Waikato Western Hills.",852800,"Waikato District.","Waikato"
"1395",1395,63277,"1/5/18","Non-Aggravated Sexual Assault","Silverdale Central.",176602,"Auckland.","Auckland"
"1396",1396,64674,"1/10/17","Common Assault","Auckland Central East.",437101,"Auckland.","Auckland"
"1397",1397,64676,"1/10/17","Serious Assault Not Resulting in Injury","Flaxmere East.",1476000,"Hastings District.","Hawkes Bay/ Gisborne"
"1398",1398,64681,"1/10/17","Serious Assault Not Resulting in Injury","Taita South.",1936800,"Lower Hutt City.","Wellington/ Lower-Central North"
"1399",1399,64684,"1/10/17","Common Assault","Grafton West.",440501,"Auckland.","Auckland"
"1400",1400,64691,"1/10/17","Serious Assault Not Resulting in Injury","Hastings Central.",1495000,"Hastings District.","Hawkes Bay/ Gisborne"
"1401",1401,64696,"1/10/17","Serious Assault Not Resulting in Injury","Tauranga Central.",1163200,"Tauranga City.","Bay Of Plenty"
"1402",1402,64699,"1/10/17","Common Assault","Hastings Central.",1493300,"Hastings District.","Hawkes Bay/ Gisborne"
"1403",1403,64704,"1/10/17","Common Assault","Hokonui.",3072700,"Southland District.","Southland/ Otago"
"1404",1404,64706,"1/10/17","Serious Assault Not Resulting in Injury","Auckland Central East.",437600,"Auckland.","Auckland"
"1405",1405,64711,"1/10/17","Serious Assault Not Resulting in Injury","Levin West.",1869700,"Horowhenua District.","Wellington/ Lower-Central North"
"1406",1406,64714,"1/10/17","Common Assault","West End.",1807200,"Palmerston North City.","West Coast/ Upper-Central North"
"1407",1407,64719,"1/10/17","Common Assault","Belmont.",1918200,"Lower Hutt City.","Wellington/ Lower-Central North"
"1408",1408,64724,"1/10/17","Common Assault","Marfell.",1579200,"New Plymouth District.","West Coast/ Upper-Central North"
"1409",1409,64726,"1/10/17","Serious Assault Not Resulting in Injury","Lochain.",1474110,"Hastings District.","Hawkes Bay/ Gisborne"
"1410",1410,64731,"1/10/17","Serious Assault Not Resulting in Injury","Trident.",1310900,"Whakatane District.","Bay Of Plenty"
"1411",1411,64734,"1/10/17","Common Assault","Hastings Central.",1489400,"Hastings District.","Hawkes Bay/ Gisborne"
"1412",1412,64739,"1/10/17","Common Assault","Grampians.",2324800,"Nelson City.","Tasman/ South-West Coast"
"1413",1413,64741,"1/10/17","Serious Assault Not Resulting in Injury","Royal Heights.",226002,"Auckland.","Auckland"
"1414",1414,64749,"1/10/17","Common Assault","Titahi Bay South.",2042002,"Porirua City.","Wellington/ Lower-Central North"
"1415",1415,64756,"1/10/17","Serious Assault Not Resulting in Injury","Palm Beach.",1205019,"Tauranga City.","Bay Of Plenty"
"1416",1416,64764,"1/10/17","Common Assault","Holborn.",1931800,"Lower Hutt City.","Wellington/ Lower-Central North"
"1417",1417,64771,"1/10/17","Serious Assault Not Resulting in Injury","Phillipstown.",2607000,"Christchurch City.","Canterbury"
"1418",1418,64776,"1/10/17","Serious Assault Not Resulting in Injury","Motueka East.",2378201,"Tasman District.","Tasman/ South-West Coast"
"1419",1419,64779,"1/10/17","Common Assault","Manukau Central.",780204,"Auckland.","Auckland"
"1420",1420,64784,"1/10/17","Common Assault","East Cape.",1345700,"Gisborne District.","Hawkes Bay/ Gisborne"
"1421",1421,64786,"1/10/17","Serious Assault Not Resulting in Injury","Waiheke Island.",516013,"Auckland.","Auckland"
"1422",1422,64791,"1/10/17","Serious Assault Not Resulting in Injury","Appleby-Kew.",3115000,"Invercargill City.","Southland/ Otago"
