"","X","X.1","date","ANZSOC.Group","Area.Unit","Meshblock","Territorial.Authority","Location"
"2665",2665,116946,"1/10/18","Serious Assault Not Resulting in Injury","Otahuhu West.",782800,"Auckland.","Auckland"
"2666",2666,116956,"1/10/18","Serious Assault Not Resulting in Injury","St Leonards.",1486400,"Hastings District.","Hawkes Bay/ Gisborne"
"2667",2667,116959,"1/10/18","Common Assault","Otaihanga.",1999601,"Kapiti Coast District.","Wellington/ Lower-Central North"
"2668",2668,116966,"1/10/18","Serious Assault Not Resulting in Injury","Walmsley.",576100,"Auckland.","Auckland"
"2669",2669,116969,"1/10/18","Common Assault","Beachhaven North.",342600,"Auckland.","Auckland"
"2670",2670,116974,"1/10/18","Common Assault","Okato.",1553500,"New Plymouth District.","West Coast/ Upper-Central North"
"2671",2671,116981,"1/10/18","Serious Assault Not Resulting in Injury","Te Kaha.",1333600,"Opotiki District.","Bay Of Plenty"
"2672",2672,116986,"1/10/18","Serious Assault Not Resulting in Injury","Te Puke East.",1215000,"Western Bay of Plenty District.","Bay Of Plenty"
"2673",2673,116989,"1/10/18","Common Assault","Glen Eden East.",286900,"Auckland.","Auckland"
"2674",2674,117005,"1/10/18","Aggravated Sexual Assault","Lambton.",2127500,"Wellington City.","Wellington/ Lower-Central North"
"2675",2675,117010,"1/10/18","Aggravated Sexual Assault","Grenada North.",2086103,"Wellington City.","Wellington/ Lower-Central North"
"2676",2676,117299,"1/11/18","Common Assault","Otaki.",1877400,"Kapiti Coast District.","Wellington/ Lower-Central North"
"2677",2677,117304,"1/11/18","Common Assault","Mosston.",1715500,"Wanganui District.","West Coast/ Upper-Central North"
"2678",2678,117309,"1/11/18","Common Assault","Leabank.",772903,"Auckland.","Auckland"
"2679",2679,117314,"1/11/18","Common Assault","Owhata West.",1254410,"Rotorua District.","Bay Of Plenty"
"2680",2680,117319,"1/11/18","Common Assault","Naenae North.",1956500,"Lower Hutt City.","Wellington/ Lower-Central North"
"2681",2681,117324,"1/11/18","Common Assault","Pakuranga East.",690700,"Auckland.","Auckland"
"2682",2682,117329,"1/11/18","Common Assault","Levin South.",1873100,"Horowhenua District.","Wellington/ Lower-Central North"
"2683",2683,117331,"1/11/18","Serious Assault Not Resulting in Injury","Red Beach West.",172702,"Auckland.","Auckland"
"2684",2684,117336,"1/11/18","Serious Assault Not Resulting in Injury","Tikipunga West.",86105,"Whangarei District.","Northland"
"2685",2685,117341,"1/11/18","Serious Assault Not Resulting in Injury","Weiti River.",175400,"Auckland.","Auckland"
"2686",2686,117343,"1/11/18","Serious Assault Resulting in Injury","Lynnmall.",265100,"Auckland.","Auckland"
"2687",2687,117348,"1/11/18","Serious Assault Resulting in Injury","Hikuai.",1056300,"Thames-Coromandel District.","Waikato"
"2688",2688,117353,"1/11/18","Serious Assault Resulting in Injury","Freemans Bay.",414900,"Auckland.","Auckland"
"2689",2689,117359,"1/11/18","Common Assault","Woolston West.",2592400,"Christchurch City.","Canterbury"
"2690",2690,117364,"1/11/18","Common Assault","Whitney.",2299200,"Marlborough District.","Tasman/ South-West Coast"
"2691",2691,117369,"1/11/18","Common Assault","Manukau Central.",780209,"Auckland.","Auckland"
"2692",2692,117374,"1/11/18","Common Assault","Hamilton Lake.",930102,"Hamilton City.","Waikato"
"2693",2693,117379,"1/11/18","Common Assault","Johnsonville Central.",2082400,"Wellington City.","Wellington/ Lower-Central North"
"2694",2694,117384,"1/11/18","Common Assault","Harania East.",732902,"Auckland.","Auckland"
