iter	Passed	Remaining
601	17177	11356
602	17206	11328
603	17236	11300
604	17267	11273
605	17297	11246
606	17326	11217
607	17355	11189
608	17385	11161
609	17414	11133
610	17443	11105
611	17472	11077
612	17501	11049
613	17530	11020
614	17559	10992
615	17588	10964
616	17617	10936
617	17646	10907
618	17676	10879
619	17705	10851
620	17735	10823
621	17763	10795
622	17793	10767
623	17822	10739
624	17851	10710
625	17880	10682
626	17908	10653
627	17938	10626
628	17967	10597
629	17996	10569
630	18025	10541
631	18054	10512
632	18083	10484
633	18112	10456
634	18142	10428
635	18172	10400
636	18201	10372
637	18230	10343
638	18259	10315
639	18288	10287
640	18317	10258
641	18346	10230
642	18375	10202
643	18405	10174
644	18434	10146
645	18463	10117
646	18492	10089
647	18521	10061
648	18550	10032
649	18579	10004
650	18608	9975
651	18637	9947
652	18666	9919
653	18694	9890
654	18724	9862
655	18753	9833
656	18781	9805
657	18810	9776
658	18839	9748
659	18868	9720
660	18897	9691
661	18926	9663
662	18955	9635
663	18984	9606
664	19013	9578
665	19042	9549
666	19070	9521
667	19099	9492
668	19129	9464
669	19159	9436
670	19188	9408
671	19219	9380
672	19248	9352
673	19277	9324
674	19306	9295
675	19335	9267
676	19364	9238
677	19393	9210
678	19422	9182
679	19451	9153
680	19481	9125
681	19509	9096
682	19538	9068
683	19568	9040
684	19597	9011
685	19626	8983
686	19654	8954
687	19683	8926
688	19712	8897
689	19741	8869
690	19770	8840
691	19799	8812
692	19827	8783
693	19856	8755
694	19886	8727
695	19918	8700
696	19948	8671
697	19977	8643
698	20006	8615
699	20035	8586
700	20064	8558
701	20094	8530
702	20123	8501
703	20152	8473
704	20183	8445
705	20212	8417
706	20241	8388
707	20270	8360
708	20299	8331
709	20328	8303
710	20357	8274
711	20386	8246
712	20415	8217
713	20444	8189
714	20473	8160
715	20502	8132
716	20531	8103
717	20560	8075
718	20589	8046
719	20618	8018
720	20647	7989
721	20676	7961
722	20705	7932
723	20733	7903
724	20761	7875
725	20791	7846
726	20819	7818
727	20848	7789
728	20877	7761
729	20906	7732
730	20935	7704
731	20964	7675
732	20993	7647
733	21022	7618
734	21051	7589
735	21081	7561
736	21110	7533
737	21139	7504
738	21170	7477
739	21200	7448
740	21229	7420
741	21258	7391
742	21286	7363
743	21315	7334
744	21344	7305
745	21373	7277
746	21402	7248
747	21430	7220
748	21459	7191
749	21488	7162
750	21520	7135
751	21553	7107
752	21582	7079
753	21611	7051
754	21640	7022
755	21669	6993
756	21697	6965
757	21727	6936
758	21756	6908
759	21785	6879
760	21814	6850
761	21843	6822
762	21873	6794
763	21902	6765
764	21931	6737
765	21960	6708
766	21988	6679
767	22017	6651
768	22045	6622
769	22075	6593
770	22106	6565
771	22135	6537
772	22165	6509
773	22195	6480
774	22224	6452
775	22253	6423
776	22281	6394
777	22310	6366
778	22338	6337
779	22366	6308
780	22394	6279
781	22423	6250
782	22451	6222
783	22479	6193
784	22508	6164
785	22535	6135
786	22564	6106
787	22592	6078
788	22620	6049
789	22649	6020
790	22677	5991
791	22705	5962
792	22733	5934
793	22761	5905
794	22789	5876
795	22818	5847
796	22846	5819
797	22875	5790
798	22904	5761
799	22932	5733
800	22960	5704
801	22988	5675
802	23017	5646
803	23045	5618
804	23073	5589
805	23102	5560
806	23130	5531
807	23159	5503
808	23188	5474
809	23216	5445
810	23245	5417
811	23274	5388
812	23302	5359
813	23330	5330
814	23358	5302
815	23386	5273
816	23414	5244
817	23442	5215
818	23470	5187
819	23498	5158
820	23526	5129
821	23554	5100
822	23582	5071
823	23611	5043
824	23639	5014
825	23667	4985
826	23696	4957
827	23724	4928
828	23752	4899
829	23780	4870
830	23808	4841
831	23837	4813
832	23865	4784
833	23894	4755
834	23922	4727
835	23951	4698
836	23978	4669
837	24006	4640
838	24035	4612
839	24063	4583
840	24093	4555
841	24121	4526
842	24149	4497
843	24178	4468
844	24206	4440
845	24235	4411
846	24263	4382
847	24291	4354
848	24320	4325
849	24348	4296
850	24376	4268
851	24405	4239
852	24433	4210
853	24462	4182
854	24490	4153
855	24518	4124
856	24546	4095
857	24575	4067
858	24604	4038
859	24632	4010
860	24661	3981
861	24689	3952
862	24717	3923
863	24746	3895
864	24774	3866
865	24802	3837
866	24830	3809
867	24859	3780
868	24887	3751
869	24916	3723
870	24944	3694
871	24972	3665
872	25001	3637
873	25028	3608
874	25056	3579
875	25085	3550
876	25113	3522
877	25141	3493
878	25169	3464
879	25200	3436
880	25229	3407
881	25257	3379
882	25286	3350
883	25314	3321
884	25342	3293
885	25370	3264
886	25399	3235
887	25427	3207
888	25455	3178
889	25483	3149
890	25511	3120
891	25540	3092
892	25568	3063
893	25596	3034
894	25624	3006
895	25653	2977
896	25681	2948
897	25709	2920
898	25737	2891
899	25764	2862
900	25792	2834
901	25820	2805
902	25848	2776
903	25877	2748
904	25905	2719
905	25934	2690
906	25962	2662
907	25990	2633
908	26018	2604
909	26046	2576
910	26074	2547
911	26102	2518
912	26133	2490
913	26162	2461
914	26190	2432
915	26218	2404
916	26246	2375
917	26275	2347
918	26303	2318
919	26331	2289
920	26359	2261
921	26387	2232
922	26415	2203
923	26444	2175
924	26472	2146
925	26501	2117
926	26529	2089
927	26557	2060
928	26586	2031
929	26613	2003
930	26642	1974
931	26669	1945
932	26697	1917
933	26725	1888
934	26754	1859
935	26782	1831
936	26811	1802
937	26840	1774
938	26868	1745
939	26897	1716
940	26925	1688
941	26954	1659
942	26982	1630
943	27010	1602
944	27039	1573
945	27068	1545
946	27096	1516
947	27125	1487
948	27156	1459
949	27184	1430
950	27213	1402
951	27242	1373
952	27271	1344
953	27299	1316
954	27329	1287
955	27357	1259
956	27386	1230
957	27415	1201
958	27444	1173
959	27472	1144
960	27501	1116
961	27530	1087
962	27560	1058
963	27589	1030
964	27617	1001
965	27645	973
966	27674	944
967	27702	915
968	27730	887
969	27758	858
970	27787	829
971	27816	801
972	27845	772
973	27874	744
974	27903	715
975	27931	686
976	27960	658
977	27988	629
978	28017	600
979	28046	572
980	28074	543
981	28104	515
982	28133	486
983	28162	457
984	28192	429
985	28221	400
986	28250	372
987	28279	343
988	28307	314
989	28336	286
990	28365	257
991	28393	228
992	28422	200
993	28451	171
994	28480	143
995	28509	114
996	28538	85
997	28568	57
998	28597	28
999	28626	0
