Date,Commercial Electricity,Commercial LPG,Commercial Natural Gas,Commercial Petrol (Bulk),Commercial Diesel (Bulk),Household Electricity,Household Firewood,Household Gas,Household Petrol,Household Alternative Motor Fuels
2017Q1,1475,2421,1759,2131,2216,2260,1828,2563,2099,2310
2017Q2,1588,2460,1745,2120,2213,2293,1917,2572,2059,2241
2017Q3,1695,2431,1761,2073,2167,2299,1924,2590,2023,2179
2017Q4,1537,2409,1771,2236,2461,2302,1924,2600,2147,2420
2018Q1,1606,2411,1796,2252,2543,2321,1924,2609,2204,2550
2018Q2,1559,2480,1803,2376,2793,2359,2021,2611,2274,2672
2018Q3,1608,2480,1789,2539,2988,2356,2042,2609,2401,2919
2018Q4,1740,2493,1836,2475,2980,2351,2042,2660,2385,2990
2019Q1,1684,2494,1902,2339,2777,2382,2042,2664,2220,2820
2019Q2,1684,2555,1906,2471,2895,2391,2129,2663,2348,2935
2019Q3,1711,2557,1888,2451,2788,2386,2130,2673,2330,2761
2019Q4,1606,2557,1985,2529,2842,2383,2130,2726,2367,2758
2020Q1,1660,2609,2031,2434,2668,2414,2130,2725,2311,2684
