Year,Round,Date,HomeTeam,HomeScore,AwayScore,AwayTeam,Venue
2009,3,"Saturday 18 April, 2:00 pm",Central Pulse,46,58,Queensland Firebirds,"TSB Bank Arena, Wellington"
2009,3,"Sunday 19 April, 2:00 pm",Adelaide Thunderbirds,43,49,Melbourne Vixens,"ETSA Park, Adelaide"
2009,3,"Sunday 19 April, 6:30 pm",Southern Steel,52,48,Canterbury Tactix,"The Edgar Centre, Dunedin"
2009,3,"Monday 20 April, 7:00 pm",Waikato Bay of Plenty Magic,63,45,New South Wales Swifts,"Mystery Creek Events Centre, Hamilton"
2009,3,"Monday 20 April, 5:00 pm",West Coast Fever,57,46,Northern Mystics,"Challenge Stadium, Perth"
2009,4,"Saturday 25 April, 2:00 pm",Central Pulse,54,60,West Coast Fever,"Arena Manawatu, Palmerston North"
2009,4,"Saturday 25 April, 2:00 pm",Melbourne Vixens,48,31,Southern Steel,"State Netball and Hockey Centre, Melbourne"
2009,4,"Sunday 26 April, 2:30 pm",Queensland Firebirds,53,42,Waikato Bay of Plenty Magic,Brisbane Convention and Exhibition Centre
2009,4,"Monday 27 April, 7:00 pm",Canterbury Tactix,48,53,Adelaide Thunderbirds,"Westpac Arena, Christchurch"
2009,4,"Monday 27 April, 7:00 pm",New South Wales Swifts,59,55,Northern Mystics,Sydney Olympic Park Sports Centre
2009,5,"Saturday 2 May, 2:00 pm",Canterbury Tactix,48,50,Waikato Bay of Plenty Magic,"Westpac Arena, Christchurch"
2009,5,"Sunday 3 May, 2:30 pm",Melbourne Vixens,50,42,Adelaide Thunderbirds,"Hisense Arena, Melbourne"
2009,5,"Monday 4 May, 7:00 pm",Central Pulse,60,61,Northern Mystics,"TSB Bank Arena, Wellington"
2009,5,"Monday 4 May, 6:00 pm",West Coast Fever,67,66,New South Wales Swifts,"Challenge Stadium, Perth"
2009,5,BYES: Queensland Firebirds and Southern Steel,,,,,
2009,6,"Saturday 9 May, 2:00 pm",Waikato Bay of Plenty Magic,59,36,Central Pulse,"Mystery Creek Events Centre, Hamilton"
2009,6,"Sunday 10 May, 2:30 pm",New South Wales Swifts,40,51,Adelaide Thunderbirds,Sydney Olympic Park Sports Centre
2009,6,"Monday 11 May, 7:00 pm",Northern Mystics,52,61,Southern Steel,"Trusts Stadium, Auckland"
2009,6,"Monday 11 May, 7:00 pm",Queensland Firebirds,56,53,West Coast Fever,Brisbane Convention and Exhibition Centre
2009,6,BYES: Canterbury Tactix and Melbourne Vixens,,,,,
